name,description
APCI,APCI—Application-Layer Protocol Control Information
API,API—Application Programming Interface
APIC,APIC—Advanced Programmable Interrupt Controller
APIPA,APIPA—Automatic Private IP Addressing
APL,APL—A Programming Language
APR,APR—Apache Portable Runtime
ARC,ARC—Adaptive Replacement Cache
ARC,ARC—Advanced RISC Computing
ARIN,ARIN—American Registry for Internet Numbers
ARM,ARM—Advanced RISC Machines
AROS,AROS—AROS Research Operating System
ARP,ARP—Address Resolution Protocol
ARPA,ARPA—Address and Routing Parameter Area
ARPA,ARPA—Advanced Research Projects Agency
ARPANET,ARPANET—Advanced Research Projects Agency Network
AS,AS—Access Server
ASCII,ASCII—American Standard Code for Information Interchange
AuthIP,AuthIP—Authenticated Internet Protocol
ASG,ASG—Abstract Semantic Graph
ASIC,ASIC—Application-Specific Integrated Circuit
ASIMO,ASIMO—Advanced Step in Innovative Mobility
ASLR,ASLR—Address Space Layout Randomization
ASM,ASM—Algorithmic State Machine
ASMP,ASMP—Asymmetric Multiprocessing
ASN.1,ASN.1—Abstract Syntax Notation 1
ASP,ASP—Active Server Pages
ASP,ASP—Application Service Provider
ASR,ASR—Asynchronous Signal Routine
AST,AST—Abstract Syntax Tree
AT,AT—Advanced Technology
AT,AT—Access Time
AT,AT—Active Terminator
ATA,ATA—Advanced Technology Attachment
ATAG,ATAG—Authoring Tool Accessibility Guidelines
ATAPI,ATAPI—Advanced Technology Attachment Packet Interface
ATM,ATM—Asynchronous Transfer Mode
AuthN,AuthN—Authentication
AuthZ,AuthZ—Authorization
AV,AV—Antivirus
AVC,AVC—Advanced Video Coding
AVI,AVI—Audio Video Interleaved
AWK,AWK—Aho Weinberger Kernighan
AWS,AWS—Amazon Web Services
AWT,AWT—Abstract Window Toolkit
B2B,B2B—Business-to-Business
B2C,B2C—Business-to-Consumer
B2E,B2E—Business-to-Employee
BAL,BAL—Basic Assembly Language
BAM,BAM—Block Availability Map
Bash,Bash—Bourne-again shell
BASIC,BASIC—Beginner's All-Purpose Symbolic Instruction Code
BBP,BBP—Baseband Processor
BBS,BBS—Bulletin Board System
BC,BC—Business Continuity
BCC,BCC—Blind Carbon Copy
BCD,BCD—Binary Coded Decimal
BCD,BCD—Boot Configuration Data
BCNF,BCNF—Boyce–Codd normal form
BCP,BCP—Business Continuity Planning
BE,BE—Backend
BEEP,BEEP—Blocks Extensible Exchange Protocol
BER,BER—Bit Error Rate
BFD,BFD—Bidirectional Forwarding Detection
BFD,BFD—Binary File Descriptor
BFS,BFS—Breadth-First Search
BFT,BFT—Byzantine Fault Tolerant
BGP,BGP—Border Gateway Protocol
BI,BI—Business Intelligence
BiDi,BiDi—Bi-Directional
bin,bin—binary
BINAC,BINAC—Binary Automatic Computer
BIND,BIND—Berkeley Internet Name Domain
BIOS,BIOS—Basic Input Output System
BJT,BJT—Bipolar Junction Transistor
bit,bit—binary digit
Blob,Blob—Binary large object
Blog,Blog—Web Log
BMP,BMP—Basic Multilingual Plane
BNC,BNC—Baby Neill Constant
BOINC,BOINC—Berkeley Open Infrastructure for Network Computing
BOM,BOM—Byte Order Mark
BOOTP,BOOTP—Bootstrap Protocol
BPDU,BPDU—Bridge Protocol Data Unit
BPEL,BPEL—Business Process Execution Language
BPL,BPL—Broadband over Power Lines
BPM,BPM—Business Process Management
BPM,BPM—Business Process Modeling
bps,bps—bits per second
BRM,BRM—Business Reference Model
BRMS,BRMS—Business Rule Management System
BRR,BRR—Business Readiness Rating
BRS,BRS—Broadband Radio Service
BSA,BSA—Business Software Alliance
BSB,BSB—Backside Bus
BSD,BSD—Berkeley Software Distribution
BSoD,BSoD—Blue Screen of Death
BSS,BSS—Block Started by Symbol
BT,BT—BitTorrent
BT,BT—Bluetooth
B TAM,B TAM—Basic Telecommunications Access Method
BW,BW—Bandwidth
BYOD,BYOD—Bring Your Own Device
Byte,Byte—By eight (group of 8 bits)
CA,CA—Computer Accountancy
CAD,CAD—Computer-Aided Design
CAE,CAE—Computer-Aided Engineering
CAID,CAID—Computer-Aided Industrial Design
CAI,CAI—Computer-Aided Instruction
CAM,CAM—Computer-Aided Manufacturing
CAP,CAP—Consistency Availability Partition tolerance (theorem)
CAPTCHA,CAPTCHA—Completely Automated Public Turing Test to tell Computers and Humans Apart
CAT,CAT—Computer-Aided Translation
CAQ,CAQ—Computer-Aided Quality Assurance
CASE,CASE—Computer-Aided Software Engineering
cc,cc—C Compiler
CC,CC—Carbon Copy
CD,CD—Compact Disc
CDE,CDE—Common Desktop Environment
CDFS,CDFS—Compact Disk File System
CDMA,CDMA—Code-Division Multiple Access
CDN,CDN—Content Delivery Network
CDP,CDP—Cisco Discovery Protocol
CDP,CDP—Continuous Data Protection
CD-R,CD-R—CD-Recordable
CD-ROM,CD-ROM—CD Read-Only Memory
CD-RW,CD-RW—CD-Rewritable
CDSA,CDSA—Common Data Security Architecture
CERT,CERT—Computer Emergency Response Team
CES,CES—Consumer Electronics Show
CF,CF—Compact Flash
CFD,CFD—Computational Fluid Dynamics
CFG,CFG—Context-Free Grammar
CFG,CFG—Control-Flow Graph
CG,CG—Computer Graphics
CGA,CGA—Color Graphics Array
CGI,CGI—Common Gateway Interface
CGI,CGI—Computer-Generated Imagery
CGT,CGT—Computational Graph Theory
CHAP,CHAP—Challenge-Handshake Authentication Protocol
CHS,CHS—Cylinder-Head-Sector
CIDR,CIDR—Classless Inter-Domain Routing
CIFS,CIFS—Common Internet Filesystem
CIM,CIM—Common Information Model
CIM,CIM—Computationally Independent Model
CIO,CIO—Chief Information Officer
CIR,CIR—Committed information rate
CISC,CISC—Complex Instruction Set Computer
CJK,CJK—Chinese Japanese and Korean
CJKV,CJKV—Chinese Japanese Korean and Vietnamese
CLI,CLI—Command Line Interface
CLR,CLR—Common Language Runtime
CM,CM—Configuration Management
CM,CM—Content Management
CMDB,CMDB—Configuration Management Database
CMMI,CMMI—Capability Maturity Model Integration
CMOS,CMOS—Complementary Metal-Oxide Semiconductor
CMO,CMO—Current Mode of Operation
CMS,CMS—Content Management System
CN,CN—Canonical Name
CN,CN—Common Name
CNC,CNC—Computer Numerical Control
CNG,CNG—Cryptographic Next Generation
CNG,CNG—Cryptography Next Generation
CNR,CNR—Communications and Networking Riser
COBOL,COBOL—Common Business-Oriented Language
COM,COM—Component Object Model or communication
CORBA,CORBA—Common Object Request Broker Architecture
CORS,CORS—Cross-Origin Resource Sharing
COTS,COTS—Commercial Off-The-Shelf
CPA,CPA—Cell Processor Architecture
CPAN,CPAN—Comprehensive Perl Archive Network
CP/M,CP/M—Control Program/Monitor
CPRI,CPRI—Common Public Radio Interface
CPS,CPS—characters per second
CPU,CPU—Central Processing Unit
CQS,CQS—Command–query separation
CQRS,CQRS—Command Query Responsibility Segregation
CR,CR—Carriage Return
CRAN,CRAN—Comprehensive R Archive Network
CRC,CRC—Cyclic Redundancy Check
CRLF,CRLF—Carriage Return Line Feeds
CRM,CRM—Customer Relationship Management
CRS,CRS—Computer Reservations System
CRT,CRT—Cathode-Ray Tube
CRUD,CRUD—Create Read Update and Delete
CS,CS—Cable Select
CS,CS—Computer Science
CSE,CSE—Computer Science and Engineering
CSI,CSI—Common System Interface
CSM,CSM—Compatibility Support Module
CSMA/CD,CSMA/CD—Carrier-sense multiple access with collision detection
CSP,CSP—Cloud Service Provider
CSP,CSP—Communicating Sequential Processes
CSRF,CSRF—Cross-Site Request Forgery
CSS,CSS—Cascading Style Sheets
CSS,CSS—Content-Scrambling System
CSS,CSS—Closed Source Software
CSS,CSS—Cross-Site Scripting
CSV,CSV—Comma-Separated Values
CT,CT—Computerized Tomography
CTAN,CTAN—Comprehensive TeX Archive Network
CTCP,CTCP—Client-To-Client Protocol
CTI,CTI—Computer Telephony Integration
CTFE,CTFE—Compile-time function execution
CTL,CTL—Computational Tree Logic
CTM,CTM—Close To Metal
CTS,CTS—Clear To Send
CTSS,CTSS—Compatible Time-Sharing System
CUA,CUA—Common User Access
CVE,CVE—Common Vulnerabilities and Exposures
CVS,CVS—Concurrent Versioning System
CX,CX—Customer Experience
DAC,DAC—Digital-To-Analog Converter
DAC,DAC—Discretionary Access Control
DAL,DAL—Database Abstraction Layer
DAO,DAO—Data Access Object
DAO,DAO—Data Access Objects
DAO,DAO—Disk-At-Once
DAP,DAP—Directory Access Protocol
DARPA,DARPA—Defense Advanced Research Projects Agency
DAS,DAS—Direct Attached Storage
DAT,DAT—Digital Audio Tape
DB,DB—Database
DSKT,DSKT—Desktop
DBA,DBA—Database Administrator
DBCS,DBCS—Double Byte Character Set
DBMS,DBMS—Database Management System
DCC,DCC—Direct Client-to-Client
DCCP,DCCP—Datagram Congestion Control Protocol
DCCA,DCCA—Debian Common Core Alliance
DCL,DCL—Data Control Language
DCS,DCS—Distributed Control System
DCMI,DCMI—Dublin Core Metadata Initiative
DCOM,DCOM—Distributed Component Object Model
DD,DD—Double Density
DDE,DDE—Dynamic Data Exchange
DDI,DDI—DNS DHCP & IP Address management
DDL,DDL—Data Definition Language
DDoS,DDoS—Distributed Denial of Service
DDR,DDR—Double Data Rate
DEC,DEC—Digital Equipment Corporation
DES,DES—Data Encryption Standard
dev,dev—development
DFA,DFA—Deterministic Finite Automaton
DFD,DFD—Data Flow Diagram
DFS,DFS—Depth-First Search
DFS,DFS—Distributed File System
DGD,DGD—Dworkin's Game Driver
DHCP,DHCP—Dynamic Host Configuration Protocol
DHTML,DHTML—Dynamic Hypertext Markup Language
DIF,DIF—Data Integrity Field
DIMM,DIMM—Dual Inline Memory Module
DIN,DIN—Deutsches Institut für Normung
DIP,DIP—Dual In-line Package
DISM,DISM—Deployment Image and Service Management Tool
DIVX,DIVX—Digital Video Express
DKIM,DKIM—Domain Keys Identified Mail
DL,DL—Download
DLL,DLL—Dynamic Link Library
DLNA,DLNA—Digital Living Network Alliance
DMA,DMA—Direct Memory Access
DMCA,DMCA—Digital Millennium Copyright Act
DMI,DMI—Direct Media Interface
DML,DML—Data Manipulation Language
DML,DML—Definitive Media Library
DMR,DMR—Dennis M. Ritchie
DMZ,DMZ—Demilitarized Zone
DN,DN—Distinguished Name
DND,DND—Drag-and-Drop
DNS,DNS—Domain Name System
DOA,DOA—Dead on Arrival
DOCSIS,DOCSIS—Data Over Cable Service Interface Specification
DOM,DOM—Document Object Model
DoS,DoS—Denial of Service
DOS,DOS—Disk Operating System
DP,DP—Dot Pitch
DPC,DPC—Deferred Procedure Call
DPI,DPI—Deep Packet Inspection
DPI,DPI—Dots Per Inch
DPMI,DPMI—DOS Protected Mode Interface
DPMS,DPMS—Display Power Management Signaling
DR,DR—Disaster Recovery
DRAM,DRAM—Dynamic Random-Access Memory
DR-DOS,DR-DOS—Digital Research - Disk Operating System
DRI,DRI—Direct Rendering Infrastructure
DRM,DRM—Digital Rights Management
DRM,DRM—Direct Rendering Manager
DSA,DSA—Digital Signature Algorithm
DSDL,DSDL—Document Schema Definition Languages
DSDM,DSDM—Dynamic Systems Development Method
DSL,DSL—Digital Subscriber Line
DSL,DSL—Domain-Specific Language
DSLAM,DSLAM—Digital Subscriber Line Access Multiplexer
DSN,DSN—Database Source Name
DSN,DSN—Data Set Name
DSP,DSP—Digital Signal Processor
DSSSL,DSSSL—Document Style Semantics and Specification Language
DTD,DTD—Document Type Definition
DTE,DTE—Data Terminal Equipment or data transfer rate
DTO,DTO—Data Transfer Object
DTP,DTP—Desktop Publishing
DTR,DTR—Data Terminal Ready or Data transfer rate
DVD,DVD—Digital Versatile Disc or Digital Video Disc
DVD-R,DVD-R—DVD-Recordable
DVD-ROM,DVD-ROM—DVD-Read Only Memory
DVD-RW,DVD-RW—DVD-Rewritable
DVI,DVI—Digital Visual Interface
DVR,DVR—Digital Video Recorder
DW,DW—Data Warehouse
EAI,EAI—Enterprise Application Integration
EAP,EAP—Extensible Authentication Protocol
EAS,EAS—Exchange ActiveSync
EBCDIC,EBCDIC—Extended Binary Coded Decimal Interchange Code
EBML,EBML—Extensible Binary Meta Language
ECC,ECC—Elliptic Curve Cryptography
ECMA,ECMA—European Computer Manufacturers Association
ECN,ECN—Explicit Congestion Notification
ECOS,ECOS—Embedded Configurable Operating System
ECRS,ECRS—Expense and Cost Recovery System
ECS,ECS—Entity-Component-System
EDA,EDA—Electronic Design Automation
EDGE,EDGE—Enhanced Data rates for GSM Evolution
EDI,EDI—Electronic Data Interchange
EDO,EDO—Extended Data Out
EDSAC,EDSAC—Electronic Delay Storage Automatic Calculator
EDVAC,EDVAC—Electronic Discrete Variable Automatic Computer
EEPROM,EEPROM—Electronically Erasable Programmable Read-Only Memory
EFF,EFF—Electronic Frontier Foundation
EFI,EFI—Extensible Firmware Interface
EFM,EFM—Eight-to-Fourteen Modulation
EFM,EFM—Ethernet in the First Mile
EFS,EFS—Encrypting File System
EGA,EGA—Enhanced Graphics Array
E-mail,E-mail—Electronic mail
EGP,EGP—Exterior Gateway Protocol
eID,eID—electronic ID card
EIDE,EIDE—Enhanced IDE
EIGRP,EIGRP—Enhanced Interior Gateway Routing Protocol
EISA,EISA—Extended Industry Standard Architecture
ELF,ELF—Extremely Low Frequency
ELF,ELF—Executable and Linkable Format
ELM,ELM—ELectronic Mail
EMACS,EMACS—Editor MACroS
EMS,EMS—Expanded Memory Specification
ENIAC,ENIAC—Electronic Numerical Integrator And Computer
EOD,EOD—End of Day
EOF,EOF—End of File
EOL,EOL—End of Line
EOM,EOM—End of Message
EOS,EOS—End of Support
EPIC,EPIC—Explicitly Parallel Instruction Computing
EPROM,EPROM—Erasable Programmable Read-Only Memory
ERD,ERD—Entity-Relationship Diagram
ERM,ERM—Entity-Relationship Model
ERP,ERP—Enterprise Resource Planning
eSATA,eSATA—external SATA
ESB,ESB—Enterprise service bus
ESCON,ESCON—Enterprise Systems Connection
ESD,ESD—Electrostatic Discharge
ESI,ESI—Electronically Stored Information
ESR,ESR—Eric Steven Raymond
ETL,ETL—Extract Transform Load
ETW,ETW—Event Tracing for Windows
EUC,EUC—Extended Unix Code
EULA,EULA—End User License Agreement
EWM,EWM—Enterprise Work Management
EWMH,EWMH—Extended Window Manager Hints
EXT,EXT—EXTended file system
ETA,ETA—Estimated Time of Arrival
FAP,FAP—FORTRAN Assembly Program
FASM,FASM—Flat ASseMbler
FAT,FAT—File Allocation Table
FAQ,FAQ—Frequently Asked Questions
FBDIMM,FBDIMM—Fully Buffered Dual Inline Memory Module
FC-AL,FC-AL—Fibre Channel Arbitrated Loop
FCB,FCB—File Control Block
FCS,FCS—Frame Check Sequence
FDC,FDC—Floppy-Disk Controller
FDS,FDS—Fedora Directory Server
FDD,FDD—Frequency-Division Duplexing
FDD,FDD—Floppy Disk Drive
FDDI,FDDI—Fiber Distributed Data Interface
FDM,FDM—Frequency-Division Multiplexing
FDMA,FDMA—Frequency-Division Multiple Access
FE,FE—Frontend
FEC,FEC—Forward Error Correction
FEMB,FEMB—Front-End Motherboard
FET,FET—Field Effect Transistor
FHS,FHS—Filesystem Hierarchy Standard
FICON,FICON—FIber CONnectivity
FIFO,FIFO—First In First Out
FIPS,FIPS—Federal Information Processing Standards
FL,FL—Function Level
FLAC,FLAC—Free Lossless Audio Codec
FLOPS,FLOPS—FLoating-Point Operations Per Second
FLOSS,FLOSS—Free/Libre/Open-Source Software
FMC,"FMC—Fixed Mobile Convergence ""Mobile UC or Unified Communications over Wireless"""
FMO,FMO—Future Mode of Operation
FOLDOC,FOLDOC—Free On-line Dictionary of Computing
FORTRAN,FORTRAN—Formula Translation
FOSDEM,FOSDEM—Free and Open-source Software Developers' European Meeting
FOSI,FOSI—Formatted Output Specification Instance
FOSS,FOSS—Free and Open-Source Software
FP,FP—Function Programming
FP,FP—Functional Programming
FPGA,FPGA—Field Programmable Gate Array
FPS,FPS—Floating Point Systems
FPU,FPU—Floating-Point Unit
FRU,FRU—Field-Replaceable Unit
FS,FS—File System
FSB,FSB—Front-Side Bus
fsck,fsck—File System Check
FSF,FSF—Free Software Foundation
FSM,FSM—Finite State Machine
FTTA,FTTA—Fiber To The Antenna
FTTC,FTTC—Fiber To The Curb
FTTH,FTTH—Fiber To The Home
FTTP,FTTP—Fiber To The Premises
FTP,FTP—File Transfer Protocol
FQDN,FQDN—Fully Qualified Domain Name
FUD,FUD—Fear Uncertainty Doubt
FWS,FWS—Folding White Space
FXP,FXP—File eXchange Protocol
FYI,FYI—For Your Information
FVEK,FVEK—Full Volume Encryption Key
G11N,G11N—Globalization
Gas,Gas—GNU Assembler
Gb,Gb—Gigabit
GB,GB—Gigabyte
Gbps,Gbps—Gigabits per second
GCC,GCC—GNU Compiler Collection
GCJ,GCJ—GNU Compiler for Java
GCP,GCP—Google Cloud Platform
GCR,GCR—Group Coded Recording
GDB,GDB—GNU Debugger
GDI,GDI—Graphics Device Interface
GFDL,GFDL—GNU Free Documentation License
GIF,GIF—Graphics Interchange Format
GIGO,GIGO—Garbage In Garbage Out
GIMP,GIMP—GNU Image Manipulation Program
GIMPS,GIMPS—Great Internet Mersenne Prime Search
GIS,GIS—Geographic Information System
GLUT,GLUT—OpenGL Utility Toolkit
GML,GML—Geography Markup Language
GNOME,GNOME—GNU Network Object Model Environment
GNU,GNU—GNU's Not Unix
GOMS,GOMS—Goals Operators Methods and Selection rules
GPASM,GPASM—GNU PIC ASseMbler
GPFS,GPFS—General Parallel File System
GPG,GPG—GNU Privacy Guard
GPGPU,GPGPU—General-Purpose Computing on Graphics Processing Units
GPIB,GPIB—General-Purpose Instrumentation Bus
GPL,GPL—General Public License
GPL,GPL—General-Purpose Language
GPRS,GPRS—General Packet Radio Service
GPT,GPT—GUID Partition Table
GPU,GPU—Graphics Processing Unit
GRUB,GRUB—Grand Unified Boot-Loader
GERAN,GERAN—GSM EDGE Radio Access Network
GSM,GSM—Global System for Mobile Communications
GTK+,GTK+—GIMP Toolkit
GUI,GUI—Graphical User Interface
GUID,GUID—Globally Unique IDentifier
GWT,GWT—Google Web Toolkit
GYR,GYR—IT Networking
HA,HA—High availability
HAL,HAL—Hardware Abstraction Layer
HARD,HARD—HTML Application Rapid Development
HASP,HASP—Houston Automatic Spooling Priority
HBA,HBA—Host Bus Adapter
HCI,HCI—Human—Computer Interaction
HD,HD—High Density
HDD,HDD—Hard Disk Drive
HCL,HCL—Hardware Compatibility List
HD DVD,HD DVD—High Definition DVD
HDL,HDL—Hardware Description Language
HDMI,HDMI—High-Definition Multimedia Interface
HECI,HECI—Host Embedded Controller Interface
HF,HF—High Frequency
HFS,HFS—Hierarchical File System
HHD,HHD—Hybrid Hard Drive
HID,HID—Human Interface Device
HIG,HIG—Human Interface Guidelines
HIRD,HIRD—Hurd of Interfaces Representing Depth
HLASM,HLASM—High Level ASseMbler
HLS,HLS—HTTP Live Streaming
HMA,HMA—High Memory Area
HP,HP—Hewlett-Packard
HPC,HPC—High-Performance Computing
HPFS,HPFS—High Performance File System
HSDPA,HSDPA—High-Speed Downlink Packet Access
HTC,HTC—High-Throughput Computing
HSM,HSM—Hierarchical Storage Management
HT,HT—Hyper Threading
HTM,HTM—Hierarchical Temporal Memory
HTML,HTML—Hypertext Markup Language
HTTP,HTTP—Hypertext Transfer Protocol
HTTPd,HTTPd—Hypertext Transport Protocol Daemon
HTTPS,HTTPS—HTTP Secure
HTX,HTX—HyperTransport eXpansion
HURD,HURD—Hird of Unix-Replacing Daemons
HVD,HVD—Holographic Versatile Disc
Hz,Hz—Hertz
I²C,I²C—Inter-Integrated Circuit
I²S,I²S—Integrated Interchip Sound
I18N,I18N—Internationalization
IANA,IANA—Internet Assigned Numbers Authority
IaaS,IaaS—Infrastructure as a Service
IaC,IaC—Infrastructure as Code
iBCS,iBCS—Intel Binary Compatibility Standard
IBM,IBM—International Business Machines
IC,IC—Integrated Circuit
ICANN,ICANN—Internet Corporation for Assigned Names and Numbers
ICE,ICE—In-Circuit Emulator
ICE,ICE—Intrusion Countermeasure Electronics
ICH,ICH—I/O Controller Hub
ICMP,ICMP—Internet Control Message Protocol
ICP,ICP—Internet Cache Protocol
ICS,ICS—Internet Connection Sharing
ICT,ICT—Information and Communication Technology
IDE,IDE—Integrated Development Environment
IDE,IDE—Integrated Drive Electronics
IDF,IDF—Intermediate Distribution Frame
IDF,IDF—Intermediate Data Format
IDL,IDL—Interactive Data Language
IDL,IDL—Interface Definition Language
IDS,IDS—Intrusion Detection System
IE,IE—Internet Explorer
IEC,IEC—International Electrotechnical Commission
IEEE,IEEE—Institute of Electrical and Electronics Engineers
IETF,IETF—Internet Engineering Task Force
IFL,IFL—Integrated Facility for Linux
IGMP,IGMP—Internet Group Management Protocol
IGRP,IGRP—Interior Gateway Routing Protocol
IHV,IHV—Independent Hardware Vendor
IIOP,IIOP—Internet Inter-Orb Protocol
IIS,IIS—Internet Information Services
IKE,IKE—Internet Key Exchange
IL,IL—Intermediate Language
IM,IM—Instant Message or Instant Messaging
IMAP,IMAP—Internet Message Access Protocol
IME,IME—Input Method Editor
IMR,IMR—Internet Monthly Report
INFOSEC,INFOSEC—Information Systems Security
I/O,I/O—Input/output
IoT,IoT—Internet of Things
IP,IP—Intellectual Property
IP,IP—Internet Protocol
IPAM,IPAM—IP Address Management
IPC,IPC—Inter-Process Communication
IPL,IPL—Initial Program Load
IPMI,IPMI—Intelligent Platform Management Interface
IPO,IPO—Inter Procedural Optimization
IPP,IPP—Internet Printing Protocol
IPS,IPS—In-Plane Switching
IPS,IPS—Instructions Per Second
IPS,IPS—Intrusion Prevention System
IPsec,IPsec—Internet Protocol security
IPTV,IPTV—Internet Protocol Television
IPv4,IPv4—Internet Protocol version 4
IPv6,IPv6—Internet Protocol version 6
IPX,IPX—Internetwork Packet Exchange
IR,IR—Intermediate Representation
IRC,IRC—Internet Relay Chat
IrDA,IrDA—Infrared Data Association
IRI,IRI—Internationalized Resource Identifier
IRP,IRP—I/O Request Packet
IRQ,IRQ—Interrupt Request
IS,IS—Information Systems
IS-IS,IS-IS—Intermediate System to Intermediate System
ISA,ISA—Industry Standard Architecture
ISA,ISA—Instruction Set Architecture
ISAM,ISAM—Indexed Sequential Access Method
ISATAP,ISATAP—Intra-Site Automatic Tunnel Addressing Protocol
ISC,ISC—Internet Storm Center
iSCSI,iSCSI—Internet Small Computer System Interface
ISDN,ISDN—Integrated Services Digital Network
ISO,ISO—International Organization for Standardization
iSNS,iSNS—Internet Storage Name Service
ISP,ISP—Internet Service Provider
ISPF,ISPF—Interactive System Productivity Facility
ISR,ISR—Interrupt Service Routine
ISV,ISV—Independent Software Vendor
IT,IT—Information Technology
ITIL,ITIL—Information Technology Infrastructure Library
ITL,ITL—Interval Temporal Logic
ITU,ITU—International Telecommunication Union
IVRS,IVRS—Interactive Voice Response System
IVCR,IVCR—Interactive Virtual Classroom
ISDN,ISDN—Integrated service digital network
J2EE,J2EE—Java 2 Enterprise Edition
J2ME,J2ME—Java 2 Micro Edition
J2SE,J2SE—Java 2 Standard Edition
JAXB,JAXB—Java Architecture for XML Binding
JAX-RPC,JAX-RPC—Java XML for Remote Procedure Calls
JAXP,JAXP—Java API for XML Processing
JBOD,JBOD—Just a Bunch of Disks
JCE,JCE— Java Cryptography Extension
JCL,JCL—Job Control Language
JCP,JCP—Java Community Process
JDBC,JDBC—Java Database Connectivity
JDK,JDK—Java Development Kit
JEE,JEE—Java Enterprise Edition
JES,JES—Job Entry Subsystem
JDS,JDS—Java Desktop System
JFC,JFC—Java Foundation Classes
JFET,JFET—Junction Field-Effect Transistor
JFS,JFS—IBM Journaling File System
JINI,JINI—Jini Is Not Initials
JIT,JIT—Just-In-Time
JME,JME—Java Micro Edition
JMX,JMX—Java Management Extensions
JMS,JMS—Java Message Service
JNDI,JNDI—Java Naming and Directory Interface
JNI,JNI—Java Native Interface
JNZ,JNZ—Jump non-zero
JPEG,JPEG—Joint Photographic Experts Group
JRE,JRE—Java Runtime Environment
JS,JS—JavaScript
JSE,JSE—Java Standard Edition
JSON,JSON—JavaScript Object Notation
JSP,JSP—Jackson Structured Programming
JSP,JSP—JavaServer Pages
JTAG,JTAG—Joint Test Action Group
JVM,JVM—Java Virtual Machine
