,paragraph,split_paragraph
15,"Accessor methods are used to read the data values of an object. Mutator methods are used to modify the data of an object. Manager methods are used to initialize and destroy objects of a class, e.g. constructors and destructors.","['accessor', 'method', 'read', 'datum', 'value', 'object', 'mutator', 'method', 'modify', 'datum', 'object', 'manager', 'method', 'initialize', 'destroy', 'object', 'class', 'e.g.', 'constructor', 'destructor']"
16,"These methods provide an abstraction layer that facilitates encapsulation and modularity. For example, if a bank-account class provides a getBalance accessor method to retrieve the current balance rather than directly accessing the balance data fields, then later revisions of the same code can implement a more complex mechanism for balance retrieval e.g., a database fetch, without the dependent code needing to be changed. The concepts of encapsulation and modularity are not unique to object-oriented programming. Indeed, in many ways the object-oriented approach is simply the logical extension of previous paradigms such as abstract data types and structured programming.3","['method', 'provide', 'abstraction', 'layer', 'facilitate', 'encapsulation', 'modularity', 'example', 'bank', 'account', 'class', 'provide', 'getbalance', 'accessor', 'method', 'retrieve', 'current', 'balance', 'directly', 'access', 'balance', 'datum', 'field', 'later', 'revision', 'code', 'implement', 'complex', 'mechanism', 'balance', 'retrieval', 'e.g.', 'database', 'fetch', 'dependent', 'code', 'need', 'change', 'concept', 'encapsulation', 'modularity', 'unique', 'object', 'orient', 'programming', 'way', 'object', 'orient', 'approach', 'simply', 'logical', 'extension', 'previous', 'paradigms', 'abstract', 'datum', 'type', 'structure', 'programming']"
17,"A constructor is a method that is called at the beginning of an object's lifetime to create and initialize the object, a process called construction or instantiation. Initialization may include an acquisition of resources. Constructors may have parameters but usually do not return values in most languages. See the following example in Java:","['constructor', 'method', 'call', 'beginning', 'object', 'lifetime', 'create', 'initialize', 'object', 'process', 'call', 'construction', 'instantiation', 'initialization', 'include', 'acquisition', 'resource', 'constructor', 'parameter', 'usually', 'return', 'value', 'language', 'follow', 'example', 'java']"
18,"A destructor is a method that is called automatically at the end of an object's lifetime, a process called destruction. Destruction in most languages does not allow destructor method arguments nor return values. Destruction can be implemented so as to perform cleanup chores and other tasks at object destruction.","['destructor', 'method', 'call', 'automatically', 'end', 'object', 'lifetime', 'process', 'call', 'destruction', 'destruction', 'language', 'allow', 'destructor', 'method', 'argument', 'return', 'value', 'destruction', 'implement', 'perform', 'cleanup', 'chore', 'task', 'object', 'destruction']"
19,"In garbage-collected languages, such as Java, C#, and Python, destructors are known as finalizers. They have a similar purpose and function to destructors, but because of the differences between languages that utilize garbage-collection and languages with manual memory management, the sequence in which they are called is different.","['garbage', 'collect', 'language', 'java', 'python', 'destructor', 'know', 'finalizer', 'similar', 'purpose', 'function', 'destructor', 'difference', 'language', 'utilize', 'garbage', 'collection', 'language', 'manual', 'memory', 'management', 'sequence', 'call', 'different']"
20,An abstract method is one with only a signature and no implementation body. It is often used to specify that a subclass must provide an implementation of the method. Abstract methods are used to specify interfaces in some programming languages.4,"['abstract', 'method', 'signature', 'implementation', 'body', 'specify', 'subclass', 'provide', 'implementation', 'method', 'abstract', 'method', 'specify', 'interface', 'programming', 'languages']"
21,The following Java code shows an abstract class that needs to be extended:,"['follow', 'java', 'code', 'show', 'abstract', 'class', 'need', 'extend']"
22,The following subclass extends the main class:,"['following', 'subclass', 'extend', 'main', 'class']"
23,"If a subclass provides an implementation for an abstract method, another subclass can make it abstract again. This is called reabstraction.","['subclass', 'provide', 'implementation', 'abstract', 'method', 'subclass', 'abstract', 'call', 'reabstraction']"
24,"In practice, this is rarely used.","['practice', 'rarely']"
25,"In C#, a virtual method can be overridden with an abstract method. This also applies to Java, where all non-private methods are virtual.","['virtual', 'method', 'overridden', 'abstract', 'method', 'apply', 'java', 'non', 'private', 'method', 'virtual']"
26,"Interfaces' default methods can also be reabstracted, requiring subclasses to implement them. This also applies to Java.","['interface', 'default', 'method', 'reabstracte', 'require', 'subclass', 'implement', 'apply', 'java']"
27,"Class methods are methods that are called on a class rather than an instance. They are typically used as part of an object meta-model. I.e, for each class, defined an instance of the class object in the meta-model is created. Meta-model protocols allow classes to be created and deleted. In this sense, they provide the same functionality as constructors and destructors described above. But in some languages such as the Common Lisp Object System CLOS the meta-model allows the developer to dynamically alter the object model at run time: e.g., to create new classes, redefine the class hierarchy, modify properties, etc.","['class', 'method', 'method', 'call', 'class', 'instance', 'typically', 'object', 'meta', 'model', 'i.e', 'class', 'define', 'instance', 'class', 'object', 'meta', 'model', 'create', 'meta', 'model', 'protocol', 'allow', 'class', 'create', 'delete', 'sense', 'provide', 'functionality', 'constructor', 'destructor', 'describe', 'language', 'common', 'lisp', 'object', 'system', 'clos', 'meta', 'model', 'allow', 'developer', 'dynamically', 'alter', 'object', 'model', 'run', 'time', 'e.g.', 'create', 'new', 'class', 'redefine', 'class', 'hierarchy', 'modify', 'property', 'etc']"
28,"Special methods are very language-specific and a language may support none, some, or all of the special methods defined here. A language's compiler may automatically generate default special methods or a programmer may be allowed to optionally define special methods. Most special methods cannot be directly called, but rather the compiler generates code to call them at appropriate times.","['special', 'method', 'language', 'specific', 'language', 'support', 'special', 'method', 'define', 'language', 'compiler', 'automatically', 'generate', 'default', 'special', 'method', 'programmer', 'allow', 'optionally', 'define', 'special', 'method', 'special', 'method', 'directly', 'call', 'compiler', 'generate', 'code', 'appropriate', 'time']"
29,"Static methods are meant to be relevant to all the instances of a class rather than to any specific instance. They are similar to static variables in that sense. An example would be a static method to sum the values of all the variables of every instance of a class. For example, if there were a Product class it might have a static method to compute the average price of all products.","['static', 'method', 'mean', 'relevant', 'instance', 'class', 'specific', 'instance', 'similar', 'static', 'variable', 'sense', 'example', 'static', 'method', 'sum', 'value', 'variable', 'instance', 'class', 'example', 'product', 'class', 'static', 'method', 'compute', 'average', 'price', 'product']"
30,"In Java, a commonly used static method is:","['java', 'commonly', 'static', 'method']"
31,This static method has no owning object and does not run on an instance. It receives all information from its arguments.2,"['static', 'method', 'own', 'object', 'run', 'instance', 'receive', 'information', 'arguments']"
32,"A static method can be invoked even if no instances of the class exist yet. Static methods are called ""static"" because they are resolved at compile time based on the class they are called on and not dynamically as in the case with instance methods, which are resolved polymorphically based on the runtime type of the object.","['static', 'method', 'invoke', 'instance', 'class', 'exist', 'static', 'method', 'call', 'static', 'resolve', 'compile', 'time', 'base', 'class', 'call', 'dynamically', 'case', 'instance', 'method', 'resolve', 'polymorphically', 'base', 'runtime', 'type', 'object']"
33,Copy-assignment operators define actions to be performed by the compiler when a class object is assigned to a class object of the same type.,"['copy', 'assignment', 'operator', 'define', 'action', 'perform', 'compiler', 'class', 'object', 'assign', 'class', 'object', 'type']"
34,Operator methods define or redefine operator symbols and define the operations to be performed with the symbol and the associated method parameters. C++ example:,"['operator', 'method', 'define', 'redefine', 'operator', 'symbol', 'define', 'operation', 'perform', 'symbol', 'associate', 'method', 'parameter', 'c++', 'example']"
35,"Some procedural languages were extended with object-oriented capabilities to leverage the large skill sets and legacy code for those languages but still provide the benefits of object-oriented development. Perhaps the most well-known example is C++, an object-oriented extension of the C programming language. Due to the design requirements to add the object-oriented paradigm on to an existing procedural language, message passing in C++ has some unique capabilities and terminologies. For example, in C++ a method is known as a member function. C++ also has the concept of virtual functions which are member functions that can be overridden in derived classes and allow for dynamic dispatch.","['procedural', 'language', 'extend', 'object', 'orient', 'capability', 'leverage', 'large', 'skill', 'set', 'legacy', 'code', 'language', 'provide', 'benefit', 'object', 'orient', 'development', 'know', 'example', 'c++', 'object', 'orient', 'extension', 'programming', 'language', 'design', 'requirement', 'add', 'object', 'orient', 'paradigm', 'exist', 'procedural', 'language', 'message', 'pass', 'c++', 'unique', 'capability', 'terminology', 'example', 'c++', 'method', 'know', 'member', 'function', 'c++', 'concept', 'virtual', 'function', 'member', 'function', 'overridden', 'derive', 'class', 'allow', 'dynamic', 'dispatch']"
36,"Virtual functions are the means by which a C++ class can achieve polymorphic behavior. Non-virtual member functions, or regular methods, are those that do not participate in polymorphism.","['virtual', 'function', 'mean', 'c++', 'class', 'achieve', 'polymorphic', 'behavior', 'non', 'virtual', 'member', 'function', 'regular', 'method', 'participate', 'polymorphism']"
37,Pages for logged out editors learn more,"['page', 'log', 'editor', 'learn']"
38,"Access modifiers or access specifiers are keywords in object-oriented languages that set the accessibility of classes, methods, and other members. Access modifiers are a specific part of programming language syntax used to facilitate the encapsulation of components.1","['access', 'modifier', 'access', 'specifier', 'keyword', 'object', 'orient', 'language', 'set', 'accessibility', 'class', 'method', 'member', 'access', 'modifier', 'specific', 'programming', 'language', 'syntax', 'facilitate', 'encapsulation', 'components']"
39,"In C++, there are only three access modifiers. C# extends the number of them to six,2 while Java has four access modifiers, but three keywords for this purpose. In Java, having no keyword before defaults to the package-private modifier.","['c++', 'access', 'modifier', 'extend', 'number', 'six', 'java', 'access', 'modifier', 'keyword', 'purpose', 'java', 'have', 'keyword', 'default', 'package', 'private', 'modifier']"
40,"When the class is declared as public, it is accessible to other classes defined in the same package as well as those defined in other packages. This is the most commonly used specifier for classes. However, a class itself cannot be declared as private. If no access specifier is stated, the default access restrictions will be applied. The class will be accessible to other classes in the same package but will be inaccessible to classes outside the package. When we say that a class is inaccessible, it simply means that we cannot create an object of that class or declare a variable of that class type. The protected access specifier too cannot be applied to a class.","['class', 'declare', 'public', 'accessible', 'class', 'define', 'package', 'define', 'package', 'commonly', 'specifi', 'class', 'class', 'declare', 'private', 'access', 'specifier', 'state', 'default', 'access', 'restriction', 'apply', 'class', 'accessible', 'class', 'package', 'inaccessible', 'class', 'outside', 'package', 'class', 'inaccessible', 'simply', 'mean', 'create', 'object', 'class', 'declare', 'variable', 'class', 'type', 'protect', 'access', 'specifier', 'apply', 'class']"
41,"C++ uses the three modifiers called public, protected, and private.3 C# has the modifiers public, protected ,internal, private, protected internal, and private protected. Java has public, package, protected, and private; package is the default, used if no other access modifier keyword is specified. The meaning of these modifiers may differ from one language to another. A comparison of the keywords, ordered from the most restrictive to the most open, and their meaning in these three languages follows. Their visibility ranges from the same class to the package where the class is defined to a general access permission. Below, the maximal access is written into the table.","['c++', 'use', 'modifier', 'call', 'public', 'protect', 'private', 'modifier', 'public', 'protect', 'internal', 'private', 'protect', 'internal', 'private', 'protect', 'java', 'public', 'package', 'protect', 'private', 'package', 'default', 'access', 'modifier', 'keyword', 'specify', 'meaning', 'modifier', 'differ', 'language', 'comparison', 'keyword', 'order', 'restrictive', 'open', 'meaning', 'language', 'follow', 'visibility', 'range', 'class', 'package', 'class', 'define', 'general', 'access', 'permission', 'maximal', 'access', 'write', 'table']"
42,"In Swift, there are five different access levels relative to both the source file in which the entity is defined and the module containing that source file.4","['swift', 'different', 'access', 'level', 'relative', 'source', 'file', 'entity', 'define', 'module', 'contain', 'source', 'file']"
43,Pages for logged out editors learn more,"['page', 'log', 'editor', 'learn']"
44,"The essence of abstraction is preserving information that is relevant in a given context, and forgetting information that is irrelevant in that context.","['essence', 'abstraction', 'preserve', 'information', 'relevant', 'give', 'context', 'forget', 'information', 'irrelevant', 'context']"
45,"In software engineering and computer science, abstraction is:","['software', 'engineering', 'computer', 'science', 'abstraction']"
46,"Abstraction, in general, is a fundamental concept in computer science and software development.4 The process of abstraction can also be referred to as modeling and is closely related to the concepts of theory and design.5 Models can also be considered types of abstractions per their generalization of aspects of reality.","['abstraction', 'general', 'fundamental', 'concept', 'computer', 'science', 'software', 'development', 'process', 'abstraction', 'refer', 'modeling', 'closely', 'relate', 'concept', 'theory', 'design', 'models', 'consider', 'type', 'abstraction', 'generalization', 'aspect', 'reality']"
47,"Abstraction in computer science is closely related to abstraction in mathematics due to their common focus on building abstractions as objects,2 but is also related to other notions of abstraction used in other fields such as art.3","['abstraction', 'computer', 'science', 'closely', 'relate', 'abstraction', 'mathematic', 'common', 'focus', 'build', 'abstraction', 'objects', 'relate', 'notion', 'abstraction', 'field', 'art']"
48,"Abstractions may also refer to real-world objects and systems, rules of computational systems or rules of programming languages that carry or utilize features of abstraction itself, such as:","['abstraction', 'refer', 'real', 'world', 'object', 'system', 'rule', 'computational', 'system', 'rule', 'programming', 'language', 'carry', 'utilize', 'feature', 'abstraction']"
49,Computing mostly operates independently of the concrete world. The hardware implements a model of computation that is interchangeable with others.10 The software is structured in architectures to enable humans to create the enormous systems by concentrating on a few issues at a time. These architectures are made of specific choices of abstractions. Greenspun's Tenth Rule is an aphorism on how such an architecture is both inevitable and complex.,"['computing', 'operate', 'independently', 'concrete', 'world', 'hardware', 'implement', 'model', 'computation', 'interchangeable', 'others', 'software', 'structure', 'architecture', 'enable', 'human', 'create', 'enormous', 'system', 'concentrate', 'issue', 'time', 'architecture', 'specific', 'choice', 'abstraction', 'greenspun', 'tenth', 'rule', 'aphorism', 'architecture', 'inevitable', 'complex']"
50,A central form of abstraction in computing is language abstraction: new artificial languages are developed to express specific aspects of a system. Modeling languages help in planning. Computer languages can be processed with a computer. An example of this abstraction process is the generational development of programming languages from the machine language to the assembly language and the high-level language. Each stage can be used as a stepping stone for the next stage. The language abstraction continues for example in scripting languages and domain-specific programming languages.,"['central', 'form', 'abstraction', 'computing', 'language', 'abstraction', 'new', 'artificial', 'language', 'develop', 'express', 'specific', 'aspect', 'system', 'modeling', 'language', 'help', 'planning', 'computer', 'language', 'process', 'computer', 'example', 'abstraction', 'process', 'generational', 'development', 'programming', 'language', 'machine', 'language', 'assembly', 'language', 'high', 'level', 'language', 'stage', 'stepping', 'stone', 'stage', 'language', 'abstraction', 'continue', 'example', 'scripting', 'language', 'domain', 'specific', 'programming', 'language']"
51,"Within a programming language, some features let the programmer create new abstractions. These include subroutines, modules, polymorphism, and software components. Some other abstractions such as software design patterns and architectural styles remain invisible to a translator and operate only in the design of a system.","['programming', 'language', 'feature', 'let', 'programmer', 'create', 'new', 'abstraction', 'include', 'subroutine', 'module', 'polymorphism', 'software', 'component', 'abstraction', 'software', 'design', 'pattern', 'architectural', 'style', 'remain', 'invisible', 'translator', 'operate', 'design', 'system']"
52,"Some abstractions try to limit the range of concepts a programmer needs to be aware of, by completely hiding the abstractions that they in turn are built on. The software engineer and writer Joel Spolsky has criticised these efforts by claiming that all abstractions are leaky – that they can never completely hide the details below;11 however, this does not negate the usefulness of abstraction.","['abstraction', 'try', 'limit', 'range', 'concept', 'programmer', 'need', 'aware', 'completely', 'hide', 'abstraction', 'turn', 'build', 'software', 'engineer', 'writer', 'joel', 'spolsky', 'criticise', 'effort', 'claim', 'abstraction', 'leaky', 'completely', 'hide', 'detail', 'below', 'negate', 'usefulness', 'abstraction']"
53,"Some abstractions are designed to inter-operate with other abstractions – for example, a programming language may contain a foreign function interface for making calls to the lower-level language.","['abstraction', 'design', 'inter', 'operate', 'abstraction', 'example', 'programming', 'language', 'contain', 'foreign', 'function', 'interface', 'make', 'call', 'low', 'level', 'language']"
54,"Different programming languages provide different types of abstraction, depending on the intended applications for the language. For example:","['different', 'programming', 'language', 'provide', 'different', 'type', 'abstraction', 'depend', 'intend', 'application', 'language', 'example']"
55,Analysts have developed various methods to formally specify software systems. Some known methods include:,"['analyst', 'develop', 'method', 'formally', 'specify', 'software', 'system', 'know', 'method', 'include']"
56,"Specification languages generally rely on abstractions of one kind or another, since specifications are typically defined earlier in a project, and at a more abstract level than an eventual implementation. The UML specification language, for example, allows the definition of abstract classes, which in a waterfall project, remain abstract during the architecture and specification phase of the project.","['specification', 'language', 'generally', 'rely', 'abstraction', 'kind', 'specification', 'typically', 'define', 'early', 'project', 'abstract', 'level', 'eventual', 'implementation', 'uml', 'specification', 'language', 'example', 'allow', 'definition', 'abstract', 'class', 'waterfall', 'project', 'remain', 'abstract', 'architecture', 'specification', 'phase', 'project']"
57,"Programming languages offer control abstraction as one of the main purposes of their use. Computer machines understand operations at the very low level such as moving some bits from one location of the memory to another location and producing the sum of two sequences of bits. Programming languages allow this to be done in the higher level. For example, consider this statement written in a Pascal-like fashion:","['programming', 'language', 'offer', 'control', 'abstraction', 'main', 'purpose', 'use', 'computer', 'machine', 'understand', 'operation', 'low', 'level', 'move', 'bit', 'location', 'memory', 'location', 'produce', 'sum', 'sequence', 'bit', 'programming', 'language', 'allow', 'high', 'level', 'example', 'consider', 'statement', 'write', 'pascal', 'like', 'fashion']"
58,"To a human, this seems a fairly simple and obvious calculation ""one plus two is three, times five is fifteen"". However, the low-level steps necessary to carry out this evaluation, and return the value ""15"", and then assign that value to the variable ""a"", are actually quite subtle and complex. The values need to be converted to binary representation often a much more complicated task than one would think and the calculations decomposed by the compiler or interpreter into assembly instructions again, which are much less intuitive to the programmer: operations such as shifting a binary register left, or adding the binary complement of the contents of one register to another, are simply not how humans think about the abstract arithmetical operations of addition or multiplication. Finally, assigning the resulting value of ""15"" to the variable labeled ""a"", so that ""a"" can be used later, involves additional 'behind-the-scenes' steps of looking up a variable's label and the resultant location in physical or virtual memory, storing the binary representation of ""15"" to that memory location, etc.","['human', 'fairly', 'simple', 'obvious', 'calculation', 'plus', 'time', 'low', 'level', 'step', 'necessary', 'carry', 'evaluation', 'return', 'value', 'assign', 'value', 'variable', 'actually', 'subtle', 'complex', 'value', 'need', 'convert', 'binary', 'representation', 'complicated', 'task', 'think', 'calculation', 'decompose', 'compiler', 'interpreter', 'assembly', 'instruction', 'intuitive', 'programmer', 'operation', 'shift', 'binary', 'register', 'leave', 'add', 'binary', 'complement', 'content', 'register', 'simply', 'human', 'think', 'abstract', 'arithmetical', 'operation', 'addition', 'multiplication', 'finally', 'assign', 'result', 'value', 'variable', 'label', 'later', 'involve', 'additional', 'scene', 'step', 'look', 'variable', 'label', 'resultant', 'location', 'physical', 'virtual', 'memory', 'store', 'binary', 'representation', 'memory', 'location', 'etc']"
59,"Without control abstraction, a programmer would need to specify all the register/binary-level steps each time they simply wanted to add or multiply a couple of numbers and assign the result to a variable. Such duplication of effort has two serious negative consequences:","['control', 'abstraction', 'programmer', 'need', 'specify', 'register', 'binary', 'level', 'step', 'time', 'simply', 'want', 'add', 'multiply', 'couple', 'number', 'assign', 'result', 'variable', 'duplication', 'effort', 'negative', 'consequence']"
60,"Structured programming involves the splitting of complex program tasks into smaller pieces with clear flow-control and interfaces between components, with a reduction of the complexity potential for side-effects.","['structured', 'programming', 'involve', 'splitting', 'complex', 'program', 'task', 'small', 'piece', 'clear', 'flow', 'control', 'interface', 'component', 'reduction', 'complexity', 'potential', 'effect']"
61,"In a simple program, this may aim to ensure that loops have single or obvious exit points and where possible to have single exit points from functions and procedures.","['simple', 'program', 'aim', 'ensure', 'loop', 'single', 'obvious', 'exit', 'point', 'possible', 'single', 'exit', 'point', 'function', 'procedure']"
62,"In a larger system, it may involve breaking down complex tasks into many different modules. Consider a system which handles payroll on ships and at shore offices:","['large', 'system', 'involve', 'break', 'complex', 'task', 'different', 'module', 'consider', 'system', 'handle', 'payroll', 'ship', 'shore', 'office']"
63,These layers produce the effect of isolating the implementation details of one component and its assorted internal methods from the others. Object-oriented programming embraces and extends this concept.,"['layer', 'produce', 'effect', 'isolate', 'implementation', 'detail', 'component', 'assorted', 'internal', 'method', 'object', 'orient', 'programming', 'embrace', 'extend', 'concept']"
64,"Data abstraction enforces a clear separation between the abstract properties of a data type and the concrete details of its implementation. The abstract properties are those that are visible to client code that makes use of the data type—the interface to the data type—while the concrete implementation is kept entirely private, and indeed can change, for example to incorporate efficiency improvements over time. The idea is that such changes are not supposed to have any impact on client code, since they involve no difference in the abstract behaviour.","['datum', 'abstraction', 'enforce', 'clear', 'separation', 'abstract', 'property', 'data', 'type', 'concrete', 'detail', 'implementation', 'abstract', 'property', 'visible', 'client', 'code', 'make', 'use', 'data', 'type', 'interface', 'data', 'type', 'concrete', 'implementation', 'keep', 'entirely', 'private', 'change', 'example', 'incorporate', 'efficiency', 'improvement', 'time', 'idea', 'change', 'suppose', 'impact', 'client', 'code', 'involve', 'difference', 'abstract', 'behaviour']"
65,"For example, one could define an abstract data type called lookup table which uniquely associates keys with values, and in which values may be retrieved by specifying their corresponding keys. Such a lookup table may be implemented in various ways: as a hash table, a binary search tree, or even a simple linear list of key:value pairs. As far as client code is concerned, the abstract properties of the type are the same in each case.","['example', 'define', 'abstract', 'data', 'type', 'call', 'lookup', 'table', 'uniquely', 'associate', 'key', 'value', 'value', 'retrieve', 'specify', 'corresponding', 'key', 'lookup', 'table', 'implement', 'way', 'hash', 'table', 'binary', 'search', 'tree', 'simple', 'linear', 'list', 'key', 'value', 'pair', 'far', 'client', 'code', 'concern', 'abstract', 'property', 'type', 'case']"
66,"Of course, this all relies on getting the details of the interface right in the first place, since any changes there can have major impacts on client code. As one way to look at this: the interface forms a contract on agreed behaviour between the data type and client code; anything not spelled out in the contract is subject to change without notice.","['course', 'rely', 'get', 'detail', 'interface', 'right', 'place', 'change', 'major', 'impact', 'client', 'code', 'way', 'look', 'interface', 'form', 'contract', 'agree', 'behaviour', 'data', 'type', 'client', 'code', 'spell', 'contract', 'subject', 'change', 'notice']"
67,"While much of data abstraction occurs through computer science and automation, there are times when this process is done manually and without programming intervention. One way this can be understood is through data abstraction within the process of conducting a systematic review of the literature. In this methodology, data is abstracted by one or several abstractors when conducting a meta-analysis, with errors reduced through dual data abstraction followed by independent checking, known as adjudication.14","['data', 'abstraction', 'occur', 'computer', 'science', 'automation', 'time', 'process', 'manually', 'programming', 'intervention', 'way', 'understand', 'data', 'abstraction', 'process', 'conduct', 'systematic', 'review', 'literature', 'methodology', 'datum', 'abstract', 'abstractor', 'conduct', 'meta', 'analysis', 'error', 'reduce', 'dual', 'datum', 'abstraction', 'follow', 'independent', 'checking', 'know', 'adjudication']"
